"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.518255750E-1,3.568296731E-1,6.221338734E-2,9.830313683E0,9.836984549E0
3.542553660E-1,3.616153300E-1,4.307080805E-2,9.866206169E0,9.872924841E0
3.566851580E-1,3.664009571E-1,5.982056633E-2,9.851848602E0,9.858841161E0
3.591148980E-1,3.496512175E-1,5.503492057E-2,9.842277527E0,9.848640096E0
3.615446890E-1,3.041875660E-1,4.785645381E-2,9.887741089E0,9.892534769E0
3.639744810E-1,2.850449979E-1,5.742774159E-2,9.942776680E0,9.947027531E0
3.664042730E-1,2.344966233E-1,5.982056633E-2,1.002652550E1,1.002944568E1
3.688340640E-1,-1.172483116E-1,1.076770201E-1,1.034477043E1,1.034599521E1
3.712638040E-1,-1.292124242E-1,1.148554832E-1,1.049103165E1,1.049245599E1
3.736935950E-1,1.866401732E-1,9.092725813E-2,1.031844902E1,1.032053741E1
3.761233870E-1,3.927220106E-1,2.392822690E-2,9.933204651E0,9.940993802E0
3.785531790E-1,5.841478109E-1,4.785645287E-3,9.487840652E0,9.505807268E0
3.809829700E-1,6.463612318E-1,-7.178467698E-3,9.193224907E0,9.215922014E0
3.834127620E-1,6.200401783E-1,4.785645287E-3,9.209974289E0,9.230823318E0
3.858425020E-1,5.219344497E-1,1.196411345E-2,9.487840652E0,9.502193376E0
3.882722930E-1,3.807578981E-1,4.307080805E-2,9.820742607E0,9.828215353E0
3.907020850E-1,2.751746178E-1,5.742774159E-2,1.004327488E1,1.004720804E1
3.931318770E-1,2.344966233E-1,7.657032460E-2,1.012941647E1,1.013241973E1
3.955616680E-1,2.153540403E-1,8.135596663E-2,1.010309505E1,1.010571748E1
3.979914080E-1,2.344966233E-1,7.178468257E-2,1.001934624E1,1.002234707E1
4.004212000E-1,3.017947674E-1,4.067798331E-2,9.928419113E0,9.933088184E0
4.028509910E-1,3.616153300E-1,3.110669367E-2,9.827920914E0,9.834620621E0
4.052807830E-1,3.711866140E-1,2.392822690E-2,9.746265411E0,9.753360525E0
4.077105750E-1,3.927220106E-1,4.067798331E-2,9.717552185E0,9.725569687E0
4.101403140E-1,3.711866140E-1,3.828516230E-2,9.758230209E0,9.765362363E0
4.125701060E-1,3.448655605E-1,5.024927482E-2,9.808479309E0,9.814668797E0
4.149998980E-1,3.281157911E-1,5.742774159E-2,9.851848602E0,9.857478319E0
4.174296890E-1,3.065803945E-1,5.742774159E-2,9.899705887E0,9.904618424E0
4.198594810E-1,3.161516786E-1,5.024927482E-2,9.909276962E0,9.914446368E0
4.222892730E-1,3.137588799E-1,4.067798331E-2,9.894919395E0,9.899976221E0
4.247190120E-1,3.185445070E-1,4.307080805E-2,9.863813400E0,9.869049625E0
4.271488040E-1,3.496512175E-1,4.546362907E-2,9.839884758E0,9.846200027E0
4.295785950E-1,3.520440459E-1,5.742774159E-2,9.820742607E0,9.827218239E0
4.320083870E-1,3.448655605E-1,5.982056633E-2,9.815657616E0,9.821896211E0
4.344381270E-1,3.329014480E-1,4.546362907E-2,9.827920914E0,9.833662583E0
4.368679180E-1,3.233301640E-1,4.546362907E-2,9.827920914E0,9.833343217E0
4.392977100E-1,3.137588799E-1,5.982056633E-2,9.842277527E0,9.847459066E0
4.417275020E-1,3.257229924E-1,5.503492057E-2,9.859027863E0,9.864560543E0
4.441572930E-1,3.281157911E-1,5.264209956E-2,9.866206169E0,9.871801018E0
4.465870850E-1,3.281157911E-1,5.742774159E-2,9.861420631E0,9.867044886E0
4.490168250E-1,3.352942765E-1,5.982056633E-2,9.861420631E0,9.867300422E0
4.514466160E-1,3.233301640E-1,4.546362907E-2,9.849455833E0,9.854866288E0
4.538764080E-1,3.257229924E-1,6.221338734E-2,9.847063065E0,9.852645176E0
4.563062000E-1,3.305086195E-1,4.067798331E-2,9.842277527E0,9.847909299E0
4.587359910E-1,3.376871049E-1,4.067798331E-2,9.849455833E0,9.855326859E0
4.611657310E-1,3.352942765E-1,3.828516230E-2,9.849455833E0,9.855235574E0
4.635955230E-1,3.329014480E-1,3.828516230E-2,9.849455833E0,9.855154456E0
4.660253140E-1,3.305086195E-1,4.785645381E-2,9.856635094E0,9.862290888E0
4.684551060E-1,3.329014480E-1,4.785645381E-2,9.856635094E0,9.862371367E0
4.708848980E-1,3.400799036E-1,2.392822690E-2,9.844670296E0,9.850571564E0
4.733146370E-1,3.496512175E-1,4.067798331E-2,9.839884758E0,9.846179093E0
4.757444290E-1,3.472583890E-1,4.307080805E-2,9.849455833E0,9.855669622E0
4.781742200E-1,3.281157911E-1,4.067798331E-2,9.849455833E0,9.855003546E0
4.806040120E-1,3.161516786E-1,4.067798331E-2,9.847063065E0,9.852220947E0
4.830338040E-1,3.257229924E-1,3.110669367E-2,9.851848602E0,9.857280760E0
4.854635430E-1,3.233301640E-1,3.589234129E-2,9.849455833E0,9.854826780E0
4.878933350E-1,3.352942765E-1,4.546362907E-2,9.851848602E0,9.857657433E0
4.903231270E-1,3.424727321E-1,3.589234129E-2,9.839884758E0,9.845908180E0
4.927529180E-1,3.376871049E-1,3.589234129E-2,9.854242325E0,9.860091918E0
4.951827100E-1,3.520440459E-1,3.589234129E-2,9.854242325E0,9.860594052E0
4.976124500E-1,3.424727321E-1,2.392822690E-2,9.859027863E0,9.865003321E0
5.000422410E-1,3.424727321E-1,3.828516230E-2,9.854242325E0,9.860265976E0
5.024720330E-1,3.424727321E-1,3.349951655E-2,9.842277527E0,9.848291055E0
5.049018250E-1,3.400799036E-1,4.785645381E-2,9.849455833E0,9.855441380E0
5.073316160E-1,3.352942765E-1,3.589234129E-2,9.842277527E0,9.848052469E0
5.097613560E-1,3.233301640E-1,3.349951655E-2,9.835099220E0,9.840469566E0
5.121911480E-1,3.233301640E-1,4.307080805E-2,9.844670296E0,9.850072625E0
5.146209390E-1,3.209373355E-1,4.307080805E-2,9.847063065E0,9.852385846E0
5.170507310E-1,3.305086195E-1,3.110669367E-2,9.856635094E0,9.862223834E0
5.194805230E-1,3.209373355E-1,3.349951655E-2,9.849455833E0,9.854740139E0
5.219102620E-1,3.329014480E-1,4.307080805E-2,9.856635094E0,9.862349306E0
5.243400540E-1,3.305086195E-1,4.546362907E-2,9.854242325E0,9.859888168E0
5.267698450E-1,3.161516786E-1,5.024927482E-2,9.849455833E0,9.854656620E0
5.291996370E-1,3.281157911E-1,4.785645381E-2,9.842277527E0,9.847861551E0
5.316294290E-1,3.281157911E-1,4.307080805E-2,9.844670296E0,9.850230875E0
5.340592200E-1,3.329014480E-1,5.024927482E-2,9.835099220E0,9.840859974E0
5.364889600E-1,3.400799036E-1,4.546362907E-2,9.832706451E0,9.838690840E0
5.389187520E-1,3.329014480E-1,2.632104978E-2,9.844670296E0,9.850332451E0
5.413485430E-1,3.233301640E-1,4.067798331E-2,9.854242325E0,9.859629247E0
5.437783350E-1,3.233301640E-1,4.067798331E-2,9.839884758E0,9.845279536E0
5.462080750E-1,3.209373355E-1,5.264209956E-2,9.835099220E0,9.840475021E0
5.486378660E-1,3.257229924E-1,3.828516230E-2,9.844670296E0,9.850131697E0
5.510676580E-1,3.329014480E-1,4.785645381E-2,9.859027863E0,9.864762745E0
5.534974500E-1,3.329014480E-1,4.067798331E-2,9.851848602E0,9.857555425E0
5.559272410E-1,3.233301640E-1,4.546362907E-2,9.849455833E0,9.854866288E0
5.583570330E-1,3.281157911E-1,2.153540403E-2,9.842277527E0,9.847768816E0
5.607867730E-1,3.281157911E-1,2.632104978E-2,9.844670296E0,9.850171877E0
5.632165640E-1,3.137588799E-1,5.503492057E-2,9.835099220E0,9.840256610E0
5.656463560E-1,3.257229924E-1,5.264209956E-2,9.839884758E0,9.845415111E0
5.680761480E-1,3.257229924E-1,5.503492057E-2,9.847063065E0,9.852602464E0
5.705059390E-1,3.568296731E-1,4.785645381E-2,9.844670296E0,9.851251235E0
5.729356790E-1,3.352942765E-1,4.307080805E-2,9.827920914E0,9.833733108E0
5.753654700E-1,3.400799036E-1,2.871387079E-2,9.823135376E0,9.829062389E0
5.777952620E-1,3.448655605E-1,4.546362907E-2,9.835099220E0,9.841248695E0
5.802250540E-1,3.352942765E-1,5.024927482E-2,9.842277527E0,9.848115259E0
5.826547930E-1,3.305086195E-1,4.546362907E-2,9.844670296E0,9.850321625E0
5.850845850E-1,3.257229924E-1,3.828516230E-2,9.847063065E0,9.852523140E0
5.875143770E-1,3.113660514E-1,3.589234129E-2,9.854242325E0,9.859225572E0
5.899441680E-1,3.185445070E-1,5.024927482E-2,9.847063065E0,9.852342188E0
5.923739600E-1,3.376871049E-1,5.503492057E-2,9.847063065E0,9.853005248E0
5.948037520E-1,3.257229924E-1,3.589234129E-2,9.854242325E0,9.859689423E0
5.972334910E-1,3.233301640E-1,5.264209956E-2,9.835099220E0,9.840553351E0
5.996632830E-1,3.329014480E-1,4.307080805E-2,9.842277527E0,9.848000070E0
6.020930750E-1,3.329014480E-1,5.264209956E-2,9.849455833E0,9.855220686E0
6.045228660E-1,3.281157911E-1,3.828516230E-2,9.849455833E0,9.854993959E0
6.069526060E-1,3.257229924E-1,3.349951655E-2,9.842277527E0,9.847722813E0
6.093823980E-1,3.137588799E-1,3.589234129E-2,9.847063065E0,9.852125857E0
6.118121890E-1,3.185445070E-1,4.307080805E-2,9.854242325E0,9.859483632E0
6.142419810E-1,3.233301640E-1,6.221338734E-2,9.849455833E0,9.854957794E0
6.166717730E-1,3.257229924E-1,6.460621208E-2,9.847063065E0,9.852660576E0
6.191015640E-1,3.209373355E-1,5.742774159E-2,9.839884758E0,9.845284697E0
6.215313040E-1,3.161516786E-1,6.699903309E-2,9.842277527E0,9.847581818E0
6.239610950E-1,3.305086195E-1,6.460621208E-2,9.854242325E0,9.859995016E0
6.263908870E-1,3.424727321E-1,5.503492057E-2,9.837491989E0,9.843605287E0
6.288206790E-1,3.400799036E-1,4.785645381E-2,9.851848602E0,9.857832696E0
6.312504700E-1,3.281157911E-1,4.546362907E-2,9.849455833E0,9.855024461E0
6.336802100E-1,3.161516786E-1,3.828516230E-2,9.847063065E0,9.852211358E0
6.361100020E-1,3.209373355E-1,4.307080805E-2,9.847063065E0,9.852385846E0
6.385397930E-1,3.209373355E-1,5.742774159E-2,9.847063065E0,9.852459070E0
6.409695850E-1,3.161516786E-1,5.024927482E-2,9.839884758E0,9.845090600E0
6.433993250E-1,3.113660514E-1,3.110669367E-2,9.827920914E0,9.832901196E0
6.458291160E-1,3.233301640E-1,3.828516230E-2,9.835099220E0,9.840487022E0
6.482589080E-1,3.257229924E-1,2.632104978E-2,9.830313683E0,9.835743763E0
6.506887000E-1,3.424727321E-1,4.067798331E-2,9.844670296E0,9.850709391E0
6.531184910E-1,3.305086195E-1,5.024927482E-2,9.832706451E0,9.838387932E0
6.555482310E-1,3.329014480E-1,4.307080805E-2,9.842277527E0,9.848000070E0
6.579780230E-1,3.472583890E-1,5.503492057E-2,9.844670296E0,9.850946678E0
6.604078140E-1,3.376871049E-1,2.871387079E-2,9.847063065E0,9.852893385E0
6.628376060E-1,3.448655605E-1,5.264209956E-2,9.837491989E0,9.843675740E0
6.652673980E-1,3.257229924E-1,5.264209956E-2,9.847063065E0,9.852589388E0
6.676971370E-1,3.376871049E-1,5.742774159E-2,9.839884758E0,9.845844940E0
6.701269290E-1,3.352942765E-1,4.067798331E-2,9.842277527E0,9.848071073E0
6.725567200E-1,3.352942765E-1,4.307080805E-2,9.859027863E0,9.864821729E0
6.749865120E-1,3.329014480E-1,4.785645381E-2,9.856635094E0,9.862371367E0
6.774162520E-1,3.352942765E-1,4.785645381E-2,9.856635094E0,9.862452426E0
6.798460430E-1,3.376871049E-1,5.024927482E-2,9.849455833E0,9.855371012E0
6.822758350E-1,3.424727321E-1,5.264209956E-2,9.835099220E0,9.841200914E0
6.847056270E-1,3.400799036E-1,4.546362907E-2,9.839884758E0,9.845864783E0
6.871354180E-1,3.448655605E-1,5.024927482E-2,9.839884758E0,9.846054504E0
6.895652100E-1,3.424727321E-1,4.067798331E-2,9.832706451E0,9.838752890E0
6.919949500E-1,3.520440459E-1,2.632104978E-2,9.849455833E0,9.855780437E0
6.944247410E-1,3.448655605E-1,6.221338734E-2,9.842277527E0,9.848514085E0
6.968545330E-1,3.400799036E-1,5.024927482E-2,9.839884758E0,9.845888044E0
6.992843250E-1,3.376871049E-1,5.503492057E-2,9.839884758E0,9.845831274E0
7.017141160E-1,3.496512175E-1,4.546362907E-2,9.849455833E0,9.855764969E0
7.041438560E-1,3.448655605E-1,3.110669367E-2,9.847063065E0,9.853149287E0
7.065736480E-1,3.448655605E-1,4.067798331E-2,9.844670296E0,9.850792871E0
7.090034390E-1,3.305086195E-1,4.785645381E-2,9.842277527E0,9.847941567E0
7.114332310E-1,3.305086195E-1,4.067798331E-2,9.842277527E0,9.847909299E0
7.138629700E-1,3.257229924E-1,3.589234129E-2,9.837491989E0,9.842948357E0
